model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,account_penalties,faithfulness_penalties,weight_account,weight_systematicity,weight_faithfulness,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_theory,fixed_point_theory_closure,init_coms_min_ax_bases,n_init_coms_min_ax_base,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,n_random_choices,coms_evolution,theory_evolution,process_length
GlobalNumpyReflectiveEquilibrium,"[[1, 3], [1, 4], [1, 5], [1, -6], [2, -4], [2, 5], [2, 6], [2, 7]]",7,8,0.26143928550824114,36,2,0,set(),"[(1, 4), (2, 4)]","[0.0, 0.3, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]",0.35,0.55,0.1,"{3, 4, 5}",3,0,0,6,True,False,"{1, 3, 4, 5, -6, -2}",6,0,0,True,True,2,{1},"{1, 3, 4, 5, -6, -2}","[{3, 4, 5}]",3,"[0, 0.9942142852544784, 1.0, 1.0, 1.0, 1.0]",True,3,3,0,3,0,4,[],0,"[{3, 4, 5}, {1, 3, 4, 5, -6, -2}, {1, 3, 4, 5, -6, -2}]","[{1}, {1}, {1}]",6
GlobalNumpyReflectiveEquilibrium,"[[1, 3], [1, 4], [1, 5], [1, -6], [2, -4], [2, 5], [2, 6], [2, 7]]",7,8,0.26143928550824114,36,2,0,set(),"[(1, 4), (2, 4)]","[0.0, 0.3, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]",0.35,0.55,0.1,"{3, 4, 5, 6, 7}",5,0,0,1,True,False,"{1, 3, 4, 5, -6, -2}",6,0,0,True,True,2,{1},"{1, 3, 4, 5, -6, -2}","[{3, 4, 5, 6, 7}]",5,"[0, 0.9704897953734105, 0.986734693877551, 0.9908163265306122, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,5,4,1,2,1,3,[1],1,"[{3, 4, 5, 6, 7}, {1, 3, 4, 5, 7, -6, -2}, {1, 3, 4, 5, -6, -2}, {1, 3, 4, 5, -6, -2}]","[{1, 7}, {1}, {1}, {1}]",8
